"column_label","ran.hdr.name","piPless.minus.piMalle.min"
"9","ran9.hdr.48",-0.0016893
"9","ran9.hdr.49",-0.00366331
"9","ran9.hdr.5",-0.000650999999999999
"9","ran9.hdr.50",-0.000954199999999999
"9","ran9.hdr.51",-0.0014303
"9","ran9.hdr.52",-0.0021674
"9","ran9.hdr.53",-0.00203727
"9","ran9.hdr.54",-0.0030356
"9","ran9.hdr.55",-0.000995989999999999
"9","ran9.hdr.56",-0.00090581
"9","ran9.hdr.57",-0.00050273
"9","ran9.hdr.58",-0.000996660000000001
"9","ran9.hdr.6",-0.003917
"9","ran9.hdr.7",-0.0017597
"9","ran9.hdr.8",-0.0013278
"9","ran9.hdr.9",-0.0002682
"10","ran10.hdr.1",-0.0022551
"10","ran10.hdr.10",-0.000643899999999999
"10","ran10.hdr.11",-0.0017507
"10","ran10.hdr.12",-0.00208505
"10","ran10.hdr.13",-0.0044669
"10","ran10.hdr.14",-0.000411999999999999
"10","ran10.hdr.15",-0.000960300000000001
"10","ran10.hdr.16",-0.0022849
"10","ran10.hdr.17",-0.0007308
"10","ran10.hdr.18",-0.0035329
"10","ran10.hdr.19",-0.000970800000000001
"10","ran10.hdr.2",-0.00203481
"10","ran10.hdr.20",-0.00197582
"10","ran10.hdr.21",-0.0020298
"10","ran10.hdr.22",-0.00128
"10","ran10.hdr.23",-0.0014858
"10","ran10.hdr.24",-0.00230942
"10","ran10.hdr.25",-0.0016787
"10","ran10.hdr.26",-0.0018608
"10","ran10.hdr.27",-0.001312
"10","ran10.hdr.28",-0.0014334
"10","ran10.hdr.29",-0.00097088
"10","ran10.hdr.3",-0.00087984
"10","ran10.hdr.30",-0.0021537
"10","ran10.hdr.31",-0.00272613
"10","ran10.hdr.32",-0.0014371
"10","ran10.hdr.33",-0.0010215
"10","ran10.hdr.34",-0.0016117
"10","ran10.hdr.35",-0.0020486
"10","ran10.hdr.36",-0.00182015
"10","ran10.hdr.37",-0.0011032
"10","ran10.hdr.38",-0.0010835
"10","ran10.hdr.39",-0.00222237
"10","ran10.hdr.4",-0.000841
"10","ran10.hdr.40",-0.0012203
"10","ran10.hdr.41",-0.000356699999999998
"10","ran10.hdr.42",-0.0015994
"10","ran10.hdr.43",-0.0009896
"10","ran10.hdr.44",-0.00139519
"10","ran10.hdr.45",-0.0013692
"10","ran10.hdr.46",-0.0016494
"10","ran10.hdr.47",-0.000729199999999999
"10","ran10.hdr.48",-0.00112917
"10","ran10.hdr.49",-0.00164633
"10","ran10.hdr.5",-0.0027824
"10","ran10.hdr.50",-0.0011072
"10","ran10.hdr.51",-0.00060639
"10","ran10.hdr.52",-0.002008
"10","ran10.hdr.53",-0.000400999999999999
"10","ran10.hdr.54",-0.0027328
"10","ran10.hdr.55",-0.000775099999999999
"10","ran10.hdr.56",-0.000936900000000001
"10","ran10.hdr.57",-0.0009
"10","ran10.hdr.58",-0.00082809
"10","ran10.hdr.6",-0.000133300000000003
"10","ran10.hdr.7",-0.0012292
