P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
eraChighW	eraEhighW	telhighE	0.00942078	3.96529	3.66535e-05	0.00726972	102456	17090.7	16771.7
eraEvlowW	eraChighW	eraEvlowE	0.011438	8.10594	2.61672e-16	0.0434956	75690.7	38953.2	38072.2
eraChighW	eraEvlowE	hermathena	0.010585	3.80674	7.04054e-05	0.0102237	69052.5	33898.4	33188.3
himHE	eraEvlowE	eraChighW	0.0144705	2.02684	0.0213393	0.0325863	57851.8	48328	46949.3
eraEvlowE	eraChighW	hortense	0.035653	9.36148	nan	0.0335634	74257.3	22030.6	20513.8
eraEvlowE	eraChighW	telhighE	0.0284727	8.57641	4.87891e-18	0.0296132	81175.8	24357.8	23009.1
eraChighW	eraEvlowW	hermathena	0.000134151	0.0488437	0.480522	9.29153e-05	91171.3	23934.3	23927.9
eraEvlowW	eraChighW	himHE	0.00562647	3.39876	0.000338466	0.00586085	73202.3	36755.7	36344.4
eraChighW	eraEvlowW	hortense	0.00835968	3.76541	8.31365e-05	0.00582832	93560.8	15253.9	15001
eraChighW	eraEvlowW	telhighE	0.0100293	4.18327	1.43674e-05	0.00774023	102427	17104.7	16765
eraChighW	himHE	hermathena	0.0171292	4.51662	3.14179e-06	0.0165502	65846.7	33165.4	32048.4
hermathena	eraChighW	hortense	0.00901109	2.79089	0.00262816	0.00838478	36461.5	18545.2	18214
eraChighW	hermathena	telhighE	0.00091642	0.227341	0.410079	0.000944543	39977.5	20281.7	20244.6
himHE	eraChighW	hortense	0.0227893	6.29969	1.49117e-10	0.0215584	70984.2	20989.2	20053.9
himHE	eraChighW	telhighE	0.0140608	4.12818	1.8282e-05	0.0147847	77356	23144.4	22502.6
telhighE	hortense	eraChighW	0.0266927	4.35688	6.59648e-06	0.00850184	24669.8	12487.5	11838.2
eraCvlowE	eraEhighE	eraCvlowW	0.00747008	3.08052	0.0010332	0.0171445	62795.2	47468	46764.1
